# Journey missions (origin != destination, required_kwh == 0). Seeded, reproducible.
id,origin_id,destination_id,battery_kwh,soc_kwh,efficiency_kwh_per_100km,required_kwh,release_hour
324,0,11,65.4,57.9,18.0,0.0,6.44
325,0,7,79.1,71.7,18.0,0.0,7.17
326,0,7,75.5,72.1,18.0,0.0,13.82
327,0,11,69.5,55.0,18.0,0.0,15.52
328,0,11,92.1,59.3,18.0,0.0,5.27
329,0,6,66.5,64.9,18.0,0.0,16.00
330,0,9,88.1,54.3,18.0,0.0,7.96
331,11,6,72.9,71.0,18.0,0.0,6.94
332,0,8,87.7,58.8,18.0,0.0,9.69
333,0,11,93.7,90.8,18.0,0.0,14.00
334,0,9,78.6,60.2,18.0,0.0,9.02
335,0,9,83.5,83.4,18.0,0.0,7.44
336,0,1,84.3,68.9,18.0,0.0,13.57
337,0,4,76.8,74.6,18.0,0.0,6.92
338,0,1,63.1,62.4,18.0,0.0,16.00
339,0,2,78.0,56.6,18.0,0.0,6.43
340,11,5,73.0,68.3,18.0,0.0,10.48
341,11,5,73.3,58.0,18.0,0.0,12.66
342,0,6,75.2,54.9,18.0,0.0,5.58
343,11,1,86.5,71.5,18.0,0.0,8.10
344,11,2,70.7,61.5,18.0,0.0,12.96
345,0,7,96.5,78.9,18.0,0.0,12.19
346,0,4,79.2,71.6,18.0,0.0,6.51
347,0,9,80.5,55.6,18.0,0.0,3.43
348,0,3,76.1,66.3,18.0,0.0,16.00
349,0,6,78.8,62.3,18.0,0.0,7.70
350,0,1,66.6,60.2,18.0,0.0,8.47
351,0,1,74.2,66.2,18.0,0.0,8.41
352,0,3,89.9,79.2,18.0,0.0,11.89
353,0,7,68.6,58.4,18.0,0.0,7.59
354,0,5,98.5,62.8,18.0,0.0,9.31
355,0,3,76.9,55.9,18.0,0.0,14.16
356,0,1,95.2,82.5,18.0,0.0,9.63
357,0,7,89.3,64.9,18.0,0.0,15.18
358,0,6,64.8,54.2,18.0,0.0,7.45
359,0,1,95.1,85.1,18.0,0.0,15.52
360,0,2,70.1,58.6,18.0,0.0,16.00
361,0,2,71.7,57.8,18.0,0.0,16.00
362,11,7,91.9,79.9,18.0,0.0,7.94
363,0,6,79.7,55.4,18.0,0.0,7.01
364,11,7,95.6,93.4,18.0,0.0,15.75
365,0,10,63.4,61.3,18.0,0.0,8.39
366,0,10,97.9,56.0,18.0,0.0,16.00
367,11,9,71.6,58.2,18.0,0.0,8.14
368,0,1,70.2,68.5,18.0,0.0,6.28
369,0,10,76.4,71.7,18.0,0.0,9.00
370,0,7,96.8,94.8,18.0,0.0,5.00
371,0,1,87.2,65.0,18.0,0.0,8.63
372,11,2,75.9,71.5,18.0,0.0,7.53
373,0,4,87.6,71.3,18.0,0.0,13.16
374,0,6,93.2,56.0,18.0,0.0,1.98
375,0,10,77.8,60.9,18.0,0.0,15.36
376,0,9,82.3,80.5,18.0,0.0,13.26
377,11,5,96.4,61.9,18.0,0.0,8.14
378,11,4,87.4,74.8,18.0,0.0,12.37
379,11,2,85.3,66.2,18.0,0.0,14.80
380,0,3,93.3,57.3,18.0,0.0,9.64
381,0,4,90.7,82.0,18.0,0.0,3.34
382,0,4,63.2,57.8,18.0,0.0,12.72
383,0,10,79.5,78.4,18.0,0.0,7.05
384,0,10,69.0,55.6,18.0,0.0,7.87
385,0,7,77.8,55.3,18.0,0.0,8.58
386,0,7,76.6,61.8,18.0,0.0,7.67
387,0,1,83.2,74.8,18.0,0.0,14.46
388,0,3,85.6,77.2,18.0,0.0,12.93
389,0,5,86.8,66.0,18.0,0.0,13.09
390,0,6,91.4,80.7,18.0,0.0,12.06
391,0,9,91.6,78.0,18.0,0.0,6.99
392,0,7,70.0,58.1,18.0,0.0,4.67
393,11,7,76.8,76.1,18.0,0.0,16.00
394,0,11,92.0,79.5,18.0,0.0,16.00
395,0,6,77.3,76.8,18.0,0.0,13.40
396,0,10,75.3,71.0,18.0,0.0,15.50
397,11,2,93.1,59.4,18.0,0.0,16.00
398,0,6,94.0,74.1,18.0,0.0,6.53
