# Road distances in km from great-circle distance x 1.35, nearest-4 per station.
from_id,to_id,distance_km
66,141,4.52
66,168,2.94
67,77,3.41
67,106,3.64
67,118,3.54
67,123,4.60
67,228,10.36
68,152,4.88
68,195,4.10
68,201,3.55
68,232,13.12
69,145,1.14
70,122,7.90
70,138,1.62
70,160,6.44
71,76,0.86
71,170,0.15
71,171,2.63
71,222,3.83
72,89,10.44
72,125,11.62
72,212,9.36
72,213,9.75
72,233,6.29
72,237,12.89
73,74,2.67
73,218,2.45
75,91,3.98
75,139,2.29
75,145,4.78
76,170,0.88
76,171,1.78
76,222,2.98
77,106,0.28
77,118,0.18
77,123,8.00
77,168,2.03
77,228,12.98
78,175,2.29
78,198,1.12
78,202,1.36
79,92,5.82
79,108,4.86
79,146,2.12
79,191,4.68
79,200,2.98
80,103,3.27
80,104,0.57
80,149,4.76
80,214,2.61
81,86,10.31
81,100,3.37
81,110,10.21
81,234,17.75
82,162,2.29
82,163,1.19
82,206,2.60
82,208,2.34
83,116,1.77
83,121,1.83
83,154,0.52
83,192,1.78
83,193,2.15
84,156,1.39
84,208,1.17
84,223,1.42
85,87,0.89
85,179,3.12
85,182,2.57
85,229,13.79
86,109,5.99
86,110,0.12
86,209,2.27
86,234,16.08
87,179,3.57
87,182,2.91
87,229,12.95
88,107,5.04
88,114,5.73
88,123,6.45
88,157,6.25
88,228,10.09
90,102,2.68
90,149,5.19
90,150,1.38
91,124,3.93
92,177,4.66
92,191,2.87
92,200,5.79
93,117,0.64
93,120,1.73
93,121,0.60
93,185,0.73
93,224,0.34
94,152,7.44
94,195,7.52
94,204,8.27
95,184,3.58
95,210,3.66
95,219,1.00
96,113,12.56
96,143,4.00
96,170,5.43
97,103,6.92
97,105,2.96
97,187,3.48
97,236,6.97
98,184,2.65
98,221,2.86
99,111,3.02
99,159,2.60
99,203,2.50
99,217,7.74
100,110,9.39
100,209,8.81
101,140,15.54
101,167,0.64
101,194,3.46
101,207,0.50
102,150,1.50
102,152,6.84
103,104,3.10
103,105,4.29
103,187,6.12
103,214,1.66
104,212,8.42
104,213,9.38
104,214,2.18
105,187,2.32
105,214,5.86
105,236,9.82
106,118,0.11
106,168,1.88
107,114,2.69
107,137,4.04
107,158,7.38
108,146,5.13
108,200,3.13
108,211,5.16
109,110,6.08
109,151,5.56
110,209,2.19
110,234,16.14
111,159,0.61
111,203,0.54
111,217,5.43
111,235,13.77
112,126,0.16
112,166,1.58
112,186,1.24
113,143,8.99
114,137,4.41
115,141,3.27
115,142,0.39
115,148,1.02
115,165,3.17
115,227,8.21
115,230,14.46
116,120,0.57
116,193,0.50
116,224,1.91
117,121,0.19
117,128,1.02
117,154,1.69
117,185,0.32
117,192,1.38
117,224,0.39
118,123,8.13
118,168,1.96
119,174,2.07
120,193,0.82
120,224,1.70
121,128,1.20
121,154,1.61
121,185,0.50
121,224,0.28
122,177,8.04
123,228,7.36
125,213,17.70
126,166,1.50
127,144,0.16
127,155,0.46
127,181,0.84
127,197,1.90
128,185,0.80
128,192,1.01
129,130,0.32
129,132,0.99
129,134,0.88
129,136,1.03
130,131,0.72
130,134,0.57
130,136,0.72
131,133,0.37
131,134,0.25
131,135,0.47
131,136,0.13
132,133,0.31
132,134,0.45
132,135,0.43
132,136,0.54
132,225,1.52
133,134,0.22
133,135,0.24
133,136,0.24
134,135,0.43
134,136,0.16
135,136,0.36
135,199,1.82
135,225,1.51
137,204,5.82
138,160,5.10
138,219,5.18
139,222,3.00
140,194,14.21
140,207,15.36
141,142,2.97
141,148,2.58
141,165,0.09
141,169,4.41
141,220,4.23
142,148,1.01
142,165,2.87
142,227,8.41
144,155,0.57
144,181,0.98
144,197,1.97
146,200,4.51
147,172,1.75
147,197,2.52
147,218,3.19
148,165,2.49
148,169,3.74
148,220,4.81
148,227,9.18
149,150,6.35
151,178,4.91
152,195,0.79
152,201,4.66
153,161,3.94
153,164,2.28
153,188,4.77
154,192,1.27
155,181,0.49
155,197,1.43
156,223,0.10
157,158,2.17
158,232,12.35
159,203,0.29
159,217,5.44
159,235,14.10
160,184,3.33
161,164,1.92
161,175,4.41
162,163,1.12
162,208,2.05
163,208,2.02
164,188,4.61
165,169,4.38
165,220,4.24
165,227,11.20
167,194,2.95
167,207,1.13
169,220,2.13
169,230,14.45
170,171,2.65
170,222,3.86
171,222,1.22
172,197,4.27
172,218,4.17
174,175,2.31
174,198,2.26
175,202,2.81
176,189,2.45
176,190,2.63
177,191,6.93
177,210,7.84
178,201,5.29
179,182,0.76
179,183,1.92
180,183,1.18
180,206,2.05
181,197,1.32
181,218,2.87
182,229,15.33
183,206,2.51
184,219,4.03
185,192,1.39
185,224,0.61
186,189,2.08
186,190,1.87
187,236,10.27
189,190,0.26
191,200,3.34
191,211,3.58
193,224,2.39
194,207,3.80
195,201,4.03
196,216,1.67
196,221,1.20
196,225,1.32
196,226,0.42
197,218,3.11
198,202,2.30
198,205,2.91
199,215,1.92
199,225,1.67
200,211,3.68
203,217,5.68
203,235,14.23
204,232,8.95
210,219,3.31
212,213,1.94
212,214,7.86
212,237,8.76
213,214,8.38
213,237,6.83
214,237,13.12
215,216,3.10
216,225,1.63
216,226,1.53
217,235,9.75
221,225,1.59
221,226,1.58
225,226,1.62
227,230,12.19
230,231,12.19
231,232,14.74
234,235,14.78
